бит,сплитов,молекул,разных окружений,доля главного,радиус,подструктура,пример,n_1A2,d_1A2,n_2C9,d_2C9,n_2D6,d_2D6,n_3A4,d_3A4
1603,126,624,6,0.989,1,n(c)c,O=C(O)C1=CN=CC=C1,264,0.573,146,0.421,338,0.327,205,0.748
1873,37,4795,14,0.995,0,c,CC1=C(O)C(C=O)=C(CO)C=N1,1396,0.338,1271,0.88,1465,-0.205,2270,0.432
1380,34,4855,20,0.966,0,c,CC1=C(O)C(C=O)=C(CO)C=N1,1405,,1277,,1480,-0.223,2307,0.586
926,29,3652,13,0.99,0,C,CCOC(=O)N1CSCC1C(=O)O,905,-0.528,994,-0.283,1067,0.137,1816,-0.275
1164,27,475,7,0.966,1,n(c)n,CC1=CC=C(NC(=O)C2=CC=C3C(=C2)N=NN3C)C=C1C1=NC=CO1,142,-0.054,135,-0.139,138,-0.086,216,-0.183
650,27,4127,10,0.993,0,O,CC1=C(O)C(C=O)=C(CO)C=N1,1063,-0.35,1165,-0.06,1050,-0.361,2135,-0.254
1088,25,2904,9,0.994,1,c(c)c,O=C(O)C1=CN=CC=C1,866,0.108,802,0.155,896,-0.001,1368,0.28
1866,24,1275,11,0.901,1,c(c)n,O=C(O)C1=CN=CC=C1,449,0.273,311,0.076,490,0.189,535,0.12
652,24,328,11,0.901,2,C(CC)N(C)C,CN(C)CCCN1C2=C(C=CC=C2)SC2=CC=C(C(F)(F)F)C=C21,77,-0.849,109,0.096,89,0.003,171,-0.09
389,24,887,10,0.772,2,c(cc)cc,CC(C)(OC1=CC=C(Cl)C=C1)C(=O)O,222,-0.081,254,-0.101,275,-0.008,413,-0.314
1750,23,4430,9,0.998,1,c(c)c,CC(C)(OC1=CC=C(Cl)C=C1)C(=O)O,1305,0.164,1190,0.415,1365,-0.03,2080,0.565
80,23,3146,14,0.994,0,C,CC1=C(O)C(C=O)=C(CO)C=N1,864,0.005,773,-0.089,1087,0.228,1449,-0.01
695,23,1334,10,0.931,0,O,CC(C)(OC1=CC=C(Cl)C=C1)C(=O)O,415,0.188,361,0.112,403,0.048,619,0.226
1654,22,150,6,0.78,2,c(cn)nc,O=C(NC1=CC=C(NC2=NC=CC=N2)C=C1)C1=C2C=NC=CN2N=C1,65,0.779,28,0.571,105,0.66,43,0.801
1057,21,3553,9,0.997,0,C,CC1=C(O)C(C=O)=C(CO)C=N1,954,-0.156,932,-0.094,1018,-0.075,1761,0.022
1879,20,261,11,0.893,1,c(c)[nH],NCCC1=CNC2=CC=C(O)C=C12,90,0.224,87,0.265,109,-0.132,110,0.406
807,20,3804,10,0.821,0,C,CC1=C(O)C(C=O)=C(CO)C=N1,982,-0.207,1084,-0.092,1031,-0.195,1908,-0.435
1019,19,2527,19,0.988,0,C,CCOC(=O)N1CSCC1C(=O)O,615,-0.337,675,-0.146,769,0.114,1231,-0.196
1325,18,1883,7,0.997,1,C(C)C,[H][C@@]12CCC3=CC(O)=CC=C3[C@@]1([H])CC[C@]1(C)[C@@H](O)CC[C@@]21[H],463,-0.296,501,-0.141,568,0.051,919,-0.145
625,18,24,7,0.708,2,c(nc)[nH]c,CCN1N=NC2=C(NC[C@]3(CO)COC[C@@H](C)N3)N=CN=C21,8,,4,,17,0.491,8,
