scikit-learn 1.8.0

  сид         член    mf  макро-ранг  макро-пара      c
    0  поферментно  1.00      0.5650      0.7150    364
    0  поферментно  0.30      0.5712      0.7082    354
    0  поферментно  0.10      0.5750      0.7052    354
    0  поферментно  0.03      0.5710      0.7088    353
      mf0.3: +0.0062   mf0.1: +0.0100   mf0.03: +0.0059
    0          пул  1.00      0.5792      0.7062    123
    0          пул  0.30      0.5760      0.7081    122
    0          пул  0.10      0.5770      0.7047    119
    0          пул  0.03      0.5676      0.7145    120
      mf0.3: -0.0032   mf0.1: -0.0022   mf0.03: -0.0116
    1  поферментно  1.00      0.5604      0.7183    364
    1  поферментно  0.30      0.5697      0.7110    353
    1  поферментно  0.10      0.5691      0.7122    349
    1  поферментно  0.03      0.5617      0.7169    350
      mf0.3: +0.0093   mf0.1: +0.0087   mf0.03: +0.0013
    1          пул  1.00      0.5764      0.7120    121
    1          пул  0.30      0.5752      0.7100    121
    1          пул  0.10      0.5746      0.7134    126
    1          пул  0.03      0.5676      0.7172    127
      mf0.3: -0.0013   mf0.1: -0.0018   mf0.03: -0.0088
    2  поферментно  1.00      0.5630      0.7164    363
    2  поферментно  0.30      0.5674      0.7135    351
    2  поферментно  0.10      0.5719      0.7079    355
    2  поферментно  0.03      0.5657      0.7128    456
      mf0.3: +0.0044   mf0.1: +0.0089   mf0.03: +0.0026
    2          пул  1.00      0.5716      0.7111    164
    2          пул  0.30      0.5778      0.7091    187
    2          пул  0.10      0.5701      0.7118    166
    2          пул  0.03      0.5668      0.7171    159
      mf0.3: +0.0062   mf0.1: -0.0015   mf0.03: -0.0048
    3  поферментно  1.00      0.5636      0.7124    461
    3  поферментно  0.30      0.5679      0.7100    376
    3  поферментно  0.10      0.5698      0.7086    368
    3  поферментно  0.03      0.5685      0.7133    467
      mf0.3: +0.0043   mf0.1: +0.0062   mf0.03: +0.0049
    3          пул  1.00      0.5795      0.7063    162
    3          пул  0.30      0.5756      0.7081    160
    3          пул  0.10      0.5727      0.7100    160
    3          пул  0.03      0.5731      0.7113    164
      mf0.3: -0.0039   mf0.1: -0.0068   mf0.03: -0.0064

        член    mf     Δранг       sd   знак     Δпара  пол 0.0052
 поферментно  0.30   +0.0060   0.0023   4/4    -0.0049
 поферментно  0.10   +0.0084   0.0016   4/4    -0.0071
 поферментно  0.03   +0.0037   0.0021   4/4    -0.0026
         пул  0.30   -0.0005   0.0046   1/4    -0.0001
         пул  0.10   -0.0031   0.0025   0/4    +0.0011
         пул  0.03   -0.0079   0.0030   0/4    +0.0061
