X (4905, 247) (DESC+MECH) | устройство mps
  [twohead] сид 4 lambda 0.0  макро 0.7854 rho 0.526  (80 с)
  [twohead] сид 4 lambda 3.0  макро 0.7810 rho 0.564  (104 с)
  [twohead] сид 5 lambda 0.0  макро 0.8027 rho 0.528  (77 с)
  [twohead] сид 5 lambda 3.0  макро 0.7823 rho 0.560  (104 с)
  [twohead] сид 6 lambda 0.0  макро 0.8129 rho 0.534  (77 с)
  [twohead] сид 6 lambda 3.0  макро 0.8057 rho 0.567  (102 с)
  [twohead] сид 7 lambda 0.0  макро 0.7964 rho 0.521  (76 с)
  [twohead] сид 7 lambda 3.0  макро 0.7964 rho 0.552  (102 с)

 seed  lambda  CYP1A2  CYP2C9  CYP2D6  CYP3A4  MACRO  rho_CYP1A2  rho_CYP2C9  rho_CYP2D6  rho_CYP3A4  MACRO_rho
    4     0.0  0.8345  0.7007  1.0277  0.5786 0.7854       0.450       0.588       0.342       0.722      0.526
    4     3.0  0.9071  0.6814  0.9981  0.5375 0.7810       0.490       0.624       0.393       0.748      0.564
    5     0.0  0.8324  0.7010  1.1133  0.5640 0.8027       0.451       0.581       0.354       0.725      0.528
    5     3.0  0.8930  0.6877  1.0119  0.5367 0.7823       0.501       0.618       0.380       0.743      0.560
    6     0.0  0.8197  0.7182  1.1444  0.5691 0.8129       0.479       0.573       0.354       0.730      0.534
    6     3.0  0.8680  0.6989  1.1210  0.5350 0.8057       0.511       0.609       0.404       0.744      0.567
    7     0.0  0.8216  0.7316  1.0577  0.5748 0.7964       0.467       0.567       0.334       0.716      0.521
    7     3.0  0.9033  0.6975  1.0493  0.5353 0.7964       0.478       0.613       0.369       0.748      0.552

сохранено: /private/tmp/claude-501/-Users-nikitapolomosnov-PycharmProjects-CYPChallenge/b45143bb-bd09-42a2-83f4-a89de59487a7/scratchpad/trunk_fresh_base.json
