файл,рука,сидов,1A2,2C9,2D6,3A4,МАКРО,выше пола,ниже пола,скрыто макро
shape,с формой,4,0.006031270387480914,-0.00032068888465733303,0.00867999236119528,-0.0008007659793896338,0.0033974519711573066,1,0,True
contrast,+ уровень,1,0.006343220118247672,0.007355873311270411,0.006745981800649503,-0.004380700143325811,0.004016093771710444,3,1,True
ncgc_w,+NCGC активные w0.1,1,0.02279525688751821,-0.0006876427063061685,0.00010504425859753086,-0.0029135522537938607,0.004824776546503928,1,0,True
ncgc_w,"+NCGC всё, с цензурой w0.3",1,0.025032803795228598,0.015312254815769588,-0.027641189427007884,-0.004528261876001971,0.0020439018269970827,2,2,True
loss,L1 по границам,1,0.007712538023648963,-0.019868224248165922,0.01834012606766844,-0.001651025194694733,0.0011333536621141865,2,1,True
agg,флаг,1,0.00809559477363192,-0.001094014050673553,0.012799146004935757,-0.0012684995651441877,0.004633056790687484,2,0,True
lipo,+ logD,1,0.01057631605008863,0.01250663321165868,-0.001423310040001069,-0.00102076740651047,0.005159717953808943,2,0,True
pool_nomech123,пул,3,0.009984563903639906,0.008935200263939161,0.02709647174447107,-0.011261559027067566,0.008688669221245641,3,1,True
poolwhy,"пул, глубина 8",1,0.002441658558829607,-0.02480384271855607,0.02161141027934349,-0.01333605744879185,-0.003521707832293705,1,2,True
dead123,L1 по метке,3,0.01163926471444667,-0.004730010352796521,0.005546559926192425,0.0001308553492197865,0.0031466674092655903,2,0,True
ncgc_w,+NCGC активные w0.3,1,0.013062702358379086,-0.011056123799666473,-0.02579614680896075,-0.00420632121490272,-0.006998972366287715,1,3,True
contrast,+ оба,1,0.007315056542495257,0.0030088751424695026,-0.000959435718339674,-0.0023158227876259874,0.0017621682947497747,1,0,True
ncgc,"+NCGC всё, с цензурой",1,0.004319324621810172,0.011272560342502458,-0.042253256138315376,-0.011991623979615396,-0.009663248788404535,1,2,True
contrast,+ контраст,1,-0.008816127998653334,-0.0013317040172873273,0.007160059249124551,-0.0028814390171052473,-0.0014673029459803394,1,1,True
pre_ibm_molformer_xl_both_10pct,база + эмбеддинг-64,1,-0.0067326281830780155,0.01177277929574927,-0.0005758547058304919,-0.009722077587741795,-0.0013144452952252583,1,2,True
agg,вес по структуре,1,0.007155220802331164,-0.002538200597369422,0.015066601251263911,-0.0019185695541426018,0.004441262975520763,2,0,True
agg,вес со скринингом,1,0.004578982570768775,-0.006304694127998056,0.014530835163892863,0.0037279114481745257,0.004133258763709527,2,0,True
aux,пул+скрининг,1,0.00846923537965577,0.01041623625844279,-0.0030447762735913986,3.5426664208193515e-05,0.003969030507178839,2,0,True
aux,пул+скрининг w0.3,1,0.000837883357744762,0.007544699631944818,-0.003281464800935774,-0.004722330116787354,9.46970179916129e-05,1,1,True
aux2,пул+скрининг mf1.0,1,-0.016356021086757433,-0.003895682450095639,0.010997526657894552,-0.006884045568760322,-0.0040345556119297105,1,2,True
poolwhy,"пул, глубина 5, 400 дер.",1,-0.01812160562449938,-0.033791167975173564,-0.011646282768249194,-0.019870948678625266,-0.02085750126163685,0,4,False
poolwhy,"пул, листья 31",1,0.0007108059092617025,-0.017350524891135533,0.004188573104213944,-0.01051352341532974,-0.005741167323247406,0,2,False
