series,size,anchor,anchor_meansim,anchor_maxsim,CYP1A2,CYP2C9,CYP2D6,CYP3A4
1,2,4778,0.491,0.492,,,,6.12316442
2,4,4778,0.488,0.493,,,,6.12316442
3,1,4778,0.466,0.466,,,,6.12316442
4,2,4752,0.541,0.556,,,,4.211382767
5,3,4752,0.48,0.5,,,,4.211382767
6,1,1248,0.422,0.422,,,,5.746158982
7,2,4784,0.439,0.455,,,,3.416967683
8,14,4715,0.629,0.894,,,,3.32945167
9,1,1248,0.547,0.547,,,,5.746158982
10,3,944,0.517,0.542,5.415105497,5.914623525,2.052914187,
11,1,944,0.5,0.5,5.415105497,5.914623525,2.052914187,
12,1,944,0.477,0.477,5.415105497,5.914623525,2.052914187,
13,1,944,0.516,0.516,5.415105497,5.914623525,2.052914187,
14,2,4416,0.496,0.569,,,,4.877370508
15,1,2315,0.542,0.542,,5.916701148,,5.9941916
16,1,944,0.483,0.483,5.415105497,5.914623525,2.052914187,
17,20,4703,0.686,0.85,,,,5.48175593
18,3,3192,0.622,0.689,,5.030292222,,6.075636388
19,1,3192,0.59,0.59,,5.030292222,,6.075636388
20,6,3192,0.586,0.649,,5.030292222,,6.075636388
21,1,3782,0.54,0.54,,,,6.550253937
22,1,3782,0.517,0.517,,,,6.550253937
23,7,3782,0.542,0.566,,,,6.550253937
24,1,3782,0.534,0.534,,,,6.550253937
25,4,603,0.522,0.556,,6.087979192,,4.632807945
26,1,603,0.547,0.547,,6.087979192,,4.632807945
27,3,603,0.538,0.574,,6.087979192,,4.632807945
28,1,603,0.509,0.509,,6.087979192,,4.632807945
29,1,603,0.538,0.538,,6.087979192,,4.632807945
30,10,3157,0.583,0.681,3.227332695,6.492068782,,
31,2,3199,0.496,0.508,5.172316588,6.84774712,4.143071928,6.41252839
32,8,1677,0.547,0.593,4.35866423,,5.431971727,
33,10,3180,0.598,0.774,,6.298419715,4.792809792,
34,2,127,0.598,0.604,1.96732382,,2.584787373,5.756632872
35,1,134,0.517,0.517,6.540418253,,,
36,2,128,0.559,0.627,6.994413592,,,
37,4,128,0.571,0.6,6.994413592,,,
38,1,128,0.614,0.614,6.994413592,,,
39,10,390,0.595,0.648,,,,6.650677757
40,4,3232,0.523,0.541,,,,6.168070013
41,4,1660,0.529,0.583,4.01257303,,,6.227752448
42,3,1660,0.503,0.516,4.01257303,,,6.227752448
43,1,1660,0.54,0.54,4.01257303,,,6.227752448
44,1,1660,0.562,0.562,4.01257303,,,6.227752448
45,1,1660,0.522,0.522,4.01257303,,,6.227752448
46,4,4209,0.463,0.541,,,,2.21548035
47,3,4209,0.537,0.548,,,,2.21548035
48,1,4209,0.588,0.588,,,,2.21548035
49,1,4270,0.516,0.516,4.236983705,,,
50,1,4353,0.318,0.318,,3.366181195,,3.467287302
51,10,2920,0.78,0.952,,6.86453859,3.58770821,
52,8,686,0.559,0.61,,6.100596402,5.471543947,6.29576257
53,1,686,0.531,0.531,,6.100596402,5.471543947,6.29576257
54,1,686,0.603,0.603,,6.100596402,5.471543947,6.29576257
55,9,1350,0.534,0.569,6.016780778,5.096937387,,4.95506759
56,1,1350,0.509,0.509,6.016780778,5.096937387,,4.95506759
57,2,1724,0.689,0.689,5.22074284,6.059388985,4.654289807,5.675257702
58,6,1724,0.55,0.661,5.22074284,6.059388985,4.654289807,5.675257702
59,1,1724,0.478,0.478,5.22074284,6.059388985,4.654289807,5.675257702
60,1,1724,0.515,0.515,5.22074284,6.059388985,4.654289807,5.675257702
61,10,850,0.627,0.645,6.15710088,6.342312325,4.515868185,5.719062883
62,5,1502,0.54,0.562,,7.47301149,5.740053708,
63,4,1502,0.55,0.569,,7.47301149,5.740053708,
64,9,4056,0.667,0.703,5.18644016,6.35345312,,4.823696855
65,1,4056,0.661,0.661,5.18644016,6.35345312,,4.823696855
66,9,818,0.619,0.645,,,,6.619647975
67,1,818,0.764,0.764,,,,6.619647975
68,6,2921,0.553,0.604,,5.81104472,,
69,3,2921,0.539,0.559,,5.81104472,,
70,1,2921,0.5,0.5,,5.81104472,,
71,7,2475,0.585,0.612,,,,6.428566638
72,2,2475,0.603,0.638,,,,6.428566638
73,1,3062,0.816,0.816,,4.686238868,,2.76789295
74,1,1502,0.518,0.518,,7.47301149,5.740053708,
75,4,3519,0.598,0.638,6.396199915,,5.280969515,5.739264047
76,6,3519,0.576,0.607,6.396199915,,5.280969515,5.739264047
77,10,3025,0.602,0.627,6.038040677,6.147345507,6.708815683,
78,2,3232,0.559,0.565,,,,6.168070013
79,4,3232,0.55,0.587,,,,6.168070013
80,2,3130,0.655,0.667,,5.71915394,,6.313210545
81,2,3130,0.552,0.552,,5.71915394,,6.313210545
82,4,3130,0.567,0.587,,5.71915394,,6.313210545
83,2,3130,0.558,0.569,,5.71915394,,6.313210545
84,9,902,0.682,0.732,7.069229052,,,
85,1,902,0.667,0.667,7.069229052,,,
86,9,3152,0.662,0.716,,7.384353628,4.989752877,6.322848957
87,1,3152,0.676,0.676,,7.384353628,4.989752877,6.322848957
88,4,990,0.509,0.522,,5.32258185,4.484070133,
89,2,990,0.526,0.536,,5.32258185,4.484070133,
90,4,990,0.537,0.569,,5.32258185,4.484070133,
91,3,498,0.57,0.578,,4.663656533,5.412311752,5.96637383
92,7,498,0.573,0.597,,4.663656533,5.412311752,5.96637383
93,3,2063,0.525,0.527,6.576043718,4.77368341,,
94,1,2063,0.567,0.567,6.576043718,4.77368341,,
95,2,2063,0.523,0.53,6.576043718,4.77368341,,
96,4,2063,0.534,0.583,6.576043718,4.77368341,,
97,7,480,0.542,0.574,6.495533205,,5.669179068,
98,2,480,0.603,0.639,6.495533205,,5.669179068,
99,1,480,0.517,0.517,6.495533205,,5.669179068,
100,2,1379,0.535,0.579,6.00149444,,4.772501642,
101,2,1379,0.583,0.585,6.00149444,,4.772501642,
102,1,1379,0.492,0.492,6.00149444,,4.772501642,
103,3,3402,0.521,0.527,7.048461123,5.553343305,,6.008129135
104,3,3402,0.54,0.569,7.048461123,5.553343305,,6.008129135
105,1,3402,0.541,0.541,7.048461123,5.553343305,,6.008129135
106,1,3402,0.62,0.62,7.048461123,5.553343305,,6.008129135
107,1,3402,0.596,0.596,7.048461123,5.553343305,,6.008129135
108,1,3402,0.54,0.54,7.048461123,5.553343305,,6.008129135
